SUBURB_NAME,DATE_MONTH,avg_land_value,property_count,DATE_MONTH_QDATE,property_count_int,avg_land_value_decimal
BARANGAROO,2019-07-01,"61507905.444444433","27",2019/07/01,"27",61507905.44
BARANGAROO,2020-07-01,"57216515.074074075","27",2020/07/01,"27",57216515.07
BARANGAROO,2018-07-01,"52233290.8","15",2018/07/01,"15",52233290.80
WILPINJONG,2019-07-01,"43932000","3",2019/07/01,"3",43932000.00
WILPINJONG,2018-07-01,"43386333.333333328","3",2018/07/01,"3",43386333.33
BARANGAROO,2017-07-01,"41589301.333333328","15",2017/07/01,"15",41589301.33
WILPINJONG,2020-07-01,"40921000","3",2020/07/01,"3",40921000.00
BARANGAROO,2016-07-01,"30681698.64","25",2016/07/01,"25",30681698.64
CADIA,2019-07-01,"24435133.333333336","6",2019/07/01,"6",24435133.33
CADIA,2020-07-01,"24435133.333333336","6",2020/07/01,"6",24435133.33
CADIA,2017-07-01,"23124733.333333328","6",2017/07/01,"6",23124733.33
CADIA,2016-07-01,"23093568","6",2016/07/01,"6",23093568.00
CADIA,2018-07-01,"22802300","6",2018/07/01,"6",22802300.00
SYDNEY,2019-07-01,"20617514.297721919","1273",2019/07/01,"1273",20617514.30
PORT BOTANY,2020-07-01,"20600058.62068966","29",2020/07/01,"29",20600058.62
PORT BOTANY,2019-07-01,"19668031.034482758","29",2019/07/01,"29",19668031.03
SYDNEY,2018-07-01,"18985586.785306126","1225",2018/07/01,"1225",18985586.79
PORT BOTANY,2017-07-01,"18561446.153846152","26",2017/07/01,"26",18561446.15
SYDNEY,2020-07-01,"18210887.589159478","1273",2020/07/01,"1273",18210887.59
PORT BOTANY,2018-07-01,"18013710.344827585","29",2018/07/01,"29",18013710.34
PORT BOTANY,2016-07-01,"17236331.034482755","29",2016/07/01,"29",17236331.03
WENTWORTH POINT,2017-07-01,"16086857.307692306","65",2017/07/01,"65",16086857.31
MOORE PARK,2020-07-01,"16086250","28",2020/07/01,"28",16086250.00
MOORE PARK,2019-07-01,"16084357.142857144","28",2019/07/01,"28",16084357.14
SYDNEY,2017-07-01,"15419806.29916667","1200",2017/07/01,"1200",15419806.30
MOORE PARK,2018-07-01,"15244680.000000004","25",2018/07/01,"25",15244680.00
JEWS LAGOON,2020-07-01,"14604454.545454545","11",2020/07/01,"11",14604454.55
WENTWORTH POINT,2018-07-01,"14595891.333333336","75",2018/07/01,"75",14595891.33
WENTWORTH POINT,2020-07-01,"14516916.250000002","80",2020/07/01,"80",14516916.25
WENTWORTH POINT,2019-07-01,"14281523.124999998","80",2019/07/01,"80",14281523.12
SYDNEY,2016-07-01,"14027647.754244136","1237",2016/07/01,"1237",14027647.75
MOORE PARK,2016-07-01,"13748640","25",2016/07/01,"25",13748640.00
JEWS LAGOON,2019-07-01,"13268545.454545455","11",2019/07/01,"11",13268545.45
WENTWORTH POINT,2016-07-01,"13171813.12658228","79",2016/07/01,"79",13171813.13
POINT PIPER,2020-07-01,"13059194.513888888","288",2020/07/01,"288",13059194.51
HAYMARKET,2019-07-01,"12754577.2659176","267",2019/07/01,"267",12754577.27
POINT PIPER,2018-07-01,"12580512.561403513","285",2018/07/01,"285",12580512.56
HAYMARKET,2020-07-01,"12552633.820224715","267",2020/07/01,"267",12552633.82
HAYMARKET,2018-07-01,"12183090.416666668","264",2018/07/01,"264",12183090.42
POINT PIPER,2017-07-01,"12152323.028169014","284",2017/07/01,"284",12152323.03
MACQUARIE PARK,2019-07-01,"12147210.317460317","378",2019/07/01,"378",12147210.32
TALLAWONG,2018-07-01,"12052600","5",2018/07/01,"5",12052600.00
POINT PIPER,2019-07-01,"12042017.013888886","288",2019/07/01,"288",12042017.01
MACQUARIE PARK,2020-07-01,"11841141.902116403","378",2020/07/01,"378",11841141.90
ROOKWOOD,2017-07-01,"11614500","4",2017/07/01,"4",11614500.00
ROOKWOOD,2018-07-01,"11614500","4",2018/07/01,"4",11614500.00
ELIZABETH BAY,2020-07-01,"11464335.327956989","186",2020/07/01,"186",11464335.33
ELIZABETH BAY,2019-07-01,"11062830.591397844","186",2019/07/01,"186",11062830.59
MOORE PARK,2017-07-01,"11040166.666666668","18",2017/07/01,"18",11040166.67
ROOKWOOD,2016-07-01,"10970250","4",2016/07/01,"4",10970250.00
POINT PIPER,2016-07-01,"10928234.701754378","285",2016/07/01,"285",10928234.70
ELIZABETH BAY,2018-07-01,"10771845.228260871","184",2018/07/01,"184",10771845.23
SINGLETON MILITARY AREA,2020-07-01,"10490000","2",2020/07/01,"2",10490000.00
SYDNEY OLYMPIC PARK,2019-07-01,"10449442.859872613","157",2019/07/01,"157",10449442.86
SINGLETON MILITARY AREA,2019-07-01,"10425000","2",2019/07/01,"2",10425000.00
SYDNEY OLYMPIC PARK,2020-07-01,"10409161.783439489","157",2020/07/01,"157",10409161.78
CHULLORA,2020-07-01,"10351393.333333334","60",2020/07/01,"60",10351393.33
CHULLORA,2019-07-01,"10338846.666666666","60",2019/07/01,"60",10338846.67
ROOKWOOD,2019-07-01,"10296000","4",2019/07/01,"4",10296000.00
ROOKWOOD,2020-07-01,"10296000","4",2020/07/01,"4",10296000.00
WARKWORTH,2019-07-01,"10043806.376811594","69",2019/07/01,"69",10043806.38
ELIZABETH BAY,2017-07-01,"10041591.759562841","183",2017/07/01,"183",10041591.76
SINGLETON MILITARY AREA,2018-07-01,"9985000","2",2018/07/01,"2",9985000.00
CHULLORA,2017-07-01,"9974186.2068965528","58",2017/07/01,"58",9974186.21
CHULLORA,2018-07-01,"9850746.6666666642","60",2018/07/01,"60",9850746.67
TALLAWONG,2017-07-01,"9808000","5",2017/07/01,"5",9808000.00
CHULLORA,2016-07-01,"9779846.6666666679","60",2016/07/01,"60",9779846.67
HAYMARKET,2017-07-01,"9764328.1399999987","250",2017/07/01,"250",9764328.14
MACQUARIE PARK,2018-07-01,"9625994.19825073","343",2018/07/01,"343",9625994.20
SINGLETON MILITARY AREA,2017-07-01,"9580000","2",2017/07/01,"2",9580000.00
ELIZABETH BAY,2016-07-01,"9450821.1086956523","184",2016/07/01,"184",9450821.11
SINGLETON MILITARY AREA,2016-07-01,"9315000","2",2016/07/01,"2",9315000.00
WARKWORTH,2018-07-01,"9109348.2352941167","68",2018/07/01,"68",9109348.24
HAYMARKET,2016-07-01,"9066680.2846441958","267",2016/07/01,"267",9066680.28
SYDNEY OLYMPIC PARK,2018-07-01,"8954050.583333334","132",2018/07/01,"132",8954050.58
JEWS LAGOON,2016-07-01,"8909181.8181818184","11",2016/07/01,"11",8909181.82
BADGERYS CREEK,2020-07-01,"8803528.2352941185","85",2020/07/01,"85",8803528.24
MILSONS POINT,2019-07-01,"8782992.79787234","94",2019/07/01,"94",8782992.80
BADGERYS CREEK,2019-07-01,"8766822.3529411741","85",2019/07/01,"85",8766822.35
WARKWORTH,2020-07-01,"8757577.6811594181","69",2020/07/01,"69",8757577.68
MACQUARIE PARK,2017-07-01,"8698815.2908011843","337",2017/07/01,"337",8698815.29
HUNTLEYS COVE,2019-07-01,"8530866.3636363633","22",2019/07/01,"22",8530866.36
MILSONS POINT,2018-07-01,"8511421.72413793","87",2018/07/01,"87",8511421.72
MILSONS POINT,2020-07-01,"8460613.6382978745","94",2020/07/01,"94",8460613.64
PARADISE,2020-07-01,"8455000","4",2020/07/01,"4",8455000.00
PARADISE,2018-07-01,"8410000","3",2018/07/01,"3",8410000.00
HUNTLEYS COVE,2020-07-01,"8264652.7272727285","22",2020/07/01,"22",8264652.73
MACQUARIE PARK,2016-07-01,"8217814.6044568261","359",2016/07/01,"359",8217814.60
HUNTLEYS COVE,2018-07-01,"8203894.5454545459","22",2018/07/01,"22",8203894.55
SYDNEY OLYMPIC PARK,2017-07-01,"8173737.4999999972","128",2017/07/01,"128",8173737.50
BANKSMEADOW,2020-07-01,"7924696.6666666679","198",2020/07/01,"198",7924696.67
WINGECARRIBEE,2017-07-01,"7878666.6666666679","3",2017/07/01,"3",7878666.67
GLENROCK,2020-07-01,"7795040","3",2020/07/01,"3",7795040.00
GLENROCK,2019-07-01,"7794680","3",2019/07/01,"3",7794680.00
HUNTLEYS COVE,2017-07-01,"7693107.7272727275","22",2017/07/01,"22",7693107.73
PARADISE,2019-07-01,"7692500","4",2019/07/01,"4",7692500.00
DARLING POINT,2020-07-01,"7681384.6966292132","445",2020/07/01,"445",7681384.70
CURRAWONG BEACH,2017-07-01,"7580000","1",2017/07/01,"1",7580000.00
CURRAWONG BEACH,2018-07-01,"7580000","1",2018/07/01,"1",7580000.00
CURRAWONG BEACH,2019-07-01,"7580000","1",2019/07/01,"1",7580000.00
DARLING POINT,2018-07-01,"7560589.63800905","442",2018/07/01,"442",7560589.64
SYDNEY OLYMPIC PARK,2016-07-01,"7471529.3486842141","152",2016/07/01,"152",7471529.35
GLENROCK,2018-07-01,"7447473.333333334","3",2018/07/01,"3",7447473.33
BANKSMEADOW,2019-07-01,"7423624.0404040394","198",2019/07/01,"198",7423624.04
CURRAWONG BEACH,2020-07-01,"7400000","1",2020/07/01,"1",7400000.00
DARLING POINT,2017-07-01,"7304843.5454545431","440",2017/07/01,"440",7304843.55
DARLING POINT,2019-07-01,"7203436.42696629","445",2019/07/01,"445",7203436.43
LAKE AVON,2016-07-01,"7180000","1",2016/07/01,"1",7180000.00
LAKE AVON,2017-07-01,"7180000","1",2017/07/01,"1",7180000.00
LAKE AVON,2018-07-01,"7180000","1",2018/07/01,"1",7180000.00
LAKE AVON,2019-07-01,"7180000","1",2019/07/01,"1",7180000.00
LAKE AVON,2020-07-01,"7180000","1",2020/07/01,"1",7180000.00
TALLAWONG,2016-07-01,"7145000","5",2016/07/01,"5",7145000.00
THE ROCKS,2019-07-01,"7143836.9771689493","219",2019/07/01,"219",7143836.98
GLENROCK,2017-07-01,"7120486.666666666","3",2017/07/01,"3",7120486.67
HUNTINGWOOD,2020-07-01,"7058782.317073171","82",2020/07/01,"82",7058782.32
HUNTLEYS COVE,2016-07-01,"7042992.7272727275","22",2016/07/01,"22",7042992.73
BANKSMEADOW,2017-07-01,"7030253.8947368413","190",2017/07/01,"190",7030253.89
LIDDELL,2018-07-01,"7004861.041666667","24",2018/07/01,"24",7004861.04
BANKSMEADOW,2018-07-01,"6964196.102564102","195",2018/07/01,"195",6964196.10
MILSONS POINT,2017-07-01,"6918084.4827586208","87",2017/07/01,"87",6918084.48
WINGECARRIBEE,2019-07-01,"6912000","3",2019/07/01,"3",6912000.00
CURRAWONG BEACH,2016-07-01,"6900000","1",2016/07/01,"1",6900000.00
WINGECARRIBEE,2020-07-01,"6895333.333333334","3",2020/07/01,"3",6895333.33
THE ROCKS,2018-07-01,"6789353.9906976726","215",2018/07/01,"215",6789353.99
TALLAWONG,2019-07-01,"6732400","15",2019/07/01,"15",6732400.00
TALLAWONG,2020-07-01,"6732400","15",2020/07/01,"15",6732400.00
LIDDELL,2019-07-01,"6723069.4999999991","24",2019/07/01,"24",6723069.50
COBAKI LAKES,2018-07-01,"6696000","19",2018/07/01,"19",6696000.00
DARLING POINT,2016-07-01,"6601853.7612612611","444",2016/07/01,"444",6601853.76
HUNTINGWOOD,2019-07-01,"6587820.4878048785","82",2019/07/01,"82",6587820.49
GLENROCK,2016-07-01,"6578913.333333333","3",2016/07/01,"3",6578913.33
THE ROCKS,2020-07-01,"6548980.4931506831","219",2020/07/01,"219",6548980.49
WINGECARRIBEE,2018-07-01,"6545333.333333333","3",2018/07/01,"3",6545333.33
LIDDELL,2020-07-01,"6518564.1666666679","24",2020/07/01,"24",6518564.17
ZETLAND,2020-07-01,"6395067.220588237","476",2020/07/01,"476",6395067.22
BANKSMEADOW,2016-07-01,"6376646.8686868679","198",2016/07/01,"198",6376646.87
ZETLAND,2019-07-01,"6353155.87605042","476",2019/07/01,"476",6353155.88
COBAKI LAKES,2017-07-01,"6211052.6315789493","19",2017/07/01,"19",6211052.63
PYRMONT,2018-07-01,"6185033.7974683587","632",2018/07/01,"632",6185033.80
ZETLAND,2018-07-01,"6163353.8103448283","464",2018/07/01,"464",6163353.81
LEN WATERS ESTATE,2020-07-01,"6121457.1428571437","21",2020/07/01,"21",6121457.14
COBAKI LAKES,2019-07-01,"6064421.05263158","19",2019/07/01,"19",6064421.05
LUCAS HEIGHTS,2017-07-01,"6051033.333333334","12",2017/07/01,"12",6051033.33
PYRMONT,2019-07-01,"6019417.5609374968","640",2019/07/01,"640",6019417.56
RUSHCUTTERS BAY,2020-07-01,"5986689.6551724151","116",2020/07/01,"116",5986689.66
RAVENSWORTH,2019-07-01,"5968615.666666667","30",2019/07/01,"30",5968615.67
LEN WATERS ESTATE,2019-07-01,"5948600","21",2019/07/01,"21",5948600.00
COBAKI LAKES,2020-07-01,"5904368.4210526319","19",2020/07/01,"19",5904368.42
PYRMONT,2020-07-01,"5899315.9984374959","640",2020/07/01,"640",5899316.00
LEN WATERS ESTATE,2018-07-01,"5874314.2857142854","21",2018/07/01,"21",5874314.29
POTTS POINT,2020-07-01,"5805780.8747203574","447",2020/07/01,"447",5805780.87
HUNTINGWOOD,2018-07-01,"5750448.75","80",2018/07/01,"80",5750448.75
MANGOOLA,2018-07-01,"5723721.7857142854","28",2018/07/01,"28",5723721.79
PARADISE,2016-07-01,"5683333.333333333","3",2016/07/01,"3",5683333.33
PYRMONT,2017-07-01,"5600995.267405062","632",2017/07/01,"632",5600995.27
THE ROCKS,2017-07-01,"5588486.3571428591","210",2017/07/01,"210",5588486.36
RUSHCUTTERS BAY,2019-07-01,"5580391.3793103453","116",2019/07/01,"116",5580391.38
ST LEONARDS,2019-07-01,"5541950.3978779828","377",2019/07/01,"377",5541950.40
RUSHCUTTERS BAY,2018-07-01,"5492829.5652173925","115",2018/07/01,"115",5492829.57
TULLOONA,2020-07-01,"5480648","25",2020/07/01,"25",5480648.00
MILSONS POINT,2016-07-01,"5440343.4090909092","88",2016/07/01,"88",5440343.41
POTTS POINT,2019-07-01,"5427537.4563758383","447",2019/07/01,"447",5427537.46
WARKWORTH,2017-07-01,"5412299.3750000019","64",2017/07/01,"64",5412299.38
POTTS POINT,2018-07-01,"5403531.7217194559","442",2018/07/01,"442",5403531.72
KEMPS CREEK,2020-07-01,"5403380.0978792785","613",2020/07/01,"613",5403380.10
MANGOOLA,2019-07-01,"5396139.6428571437","28",2019/07/01,"28",5396139.64
KEMPS CREEK,2019-07-01,"5389882.5448613409","613",2019/07/01,"613",5389882.54
ULAN,2018-07-01,"5388458.6842105268","76",2018/07/01,"76",5388458.68
PARRAWEENA,2020-07-01,"5387882.3529411759","17",2020/07/01,"17",5387882.35
ULAN,2020-07-01,"5377194.0259740259","77",2020/07/01,"77",5377194.03
RAVENSWORTH,2020-07-01,"5358069.0000000019","30",2020/07/01,"30",5358069.00
LUCAS HEIGHTS,2018-07-01,"5347314.2857142854","14",2018/07/01,"14",5347314.29
COBAKI LAKES,2016-07-01,"5317736.8421052629","19",2016/07/01,"19",5317736.84
ST LEONARDS,2020-07-01,"5258604.0318302382","377",2020/07/01,"377",5258604.03
ZETLAND,2017-07-01,"5230899.1171171218","444",2017/07/01,"444",5230899.12
BARRATTA,2019-07-01,"5219482.8571428573","14",2019/07/01,"14",5219482.86
BARRATTA,2020-07-01,"5219482.8571428563","14",2020/07/01,"14",5219482.86
MAYFIELD NORTH,2020-07-01,"5202320.0666666664","15",2020/07/01,"15",5202320.07
MAYFIELD NORTH,2019-07-01,"5196053.4666666668","15",2019/07/01,"15",5196053.47
RAVENSWORTH,2018-07-01,"5161185.7142857127","28",2018/07/01,"28",5161185.71
ULAN,2019-07-01,"5161136.3636363642","77",2019/07/01,"77",5161136.36
RHODES,2020-07-01,"5137308.3137755077","392",2020/07/01,"392",5137308.31
RHODES,2019-07-01,"5098926.0153061235","392",2019/07/01,"392",5098926.02
RUSHCUTTERS BAY,2017-07-01,"5092849.5652173925","115",2017/07/01,"115",5092849.57
MILLERS POINT,2018-07-01,"5070146.1847826075","276",2018/07/01,"276",5070146.18
HOMEBUSH BAY,2018-07-01,"5034500","5",2018/07/01,"5",5034500.00
DAWES POINT,2019-07-01,"4979040.1538461531","104",2019/07/01,"104",4979040.15
LUCAS HEIGHTS,2016-07-01,"4935135.7142857136","14",2016/07/01,"14",4935135.71
RHODES,2018-07-01,"4919676.90909091","385",2018/07/01,"385",4919676.91
TULLOONA,2019-07-01,"4916298.4","25",2019/07/01,"25",4916298.40
LIDDELL,2017-07-01,"4914802.583333334","24",2017/07/01,"24",4914802.58
DAWES POINT,2020-07-01,"4905001.692307692","104",2020/07/01,"104",4905001.69
KOORAGANG,2017-07-01,"4896757.7924528308","53",2017/07/01,"53",4896757.79
DAWES POINT,2018-07-01,"4886980.509615384","104",2018/07/01,"104",4886980.51
THE ROCKS,2016-07-01,"4883075.4174311915","218",2016/07/01,"218",4883075.42
BEGGAN BEGGAN,2020-07-01,"4873333.333333334","3",2020/07/01,"3",4873333.33
MILLERS POINT,2019-07-01,"4871377.3285198566","277",2019/07/01,"277",4871377.33
MILLERS POINT,2020-07-01,"4825362.8880866412","277",2020/07/01,"277",4825362.89
PYRMONT,2016-07-01,"4824702.2248427663","636",2016/07/01,"636",4824702.22
MANGOOLA,2017-07-01,"4820114.6428571418","28",2017/07/01,"28",4820114.64
LEN WATERS ESTATE,2017-07-01,"4803595.2380952379","21",2017/07/01,"21",4803595.24
POTTS POINT,2017-07-01,"4788264.0919540217","435",2017/07/01,"435",4788264.09
ST LEONARDS,2018-07-01,"4785476.0547945211","365",2018/07/01,"365",4785476.05
LUCAS HEIGHTS,2020-07-01,"4780693.333333333","15",2020/07/01,"15",4780693.33
TRALEE,2019-07-01,"4779250","8",2019/07/01,"8",4779250.00
TRALEE,2020-07-01,"4779250","8",2020/07/01,"8",4779250.00
LUCAS HEIGHTS,2019-07-01,"4778760","15",2019/07/01,"15",4778760.00
MANGOOLA,2020-07-01,"4773639.6428571427","28",2020/07/01,"28",4773639.64
MALLOWA,2020-07-01,"4770352.3913043486","46",2020/07/01,"46",4770352.39
PARRAWEENA,2019-07-01,"4769176.4705882352","17",2019/07/01,"17",4769176.47
RUSHCUTTERS BAY,2016-07-01,"4720449.137931034","116",2016/07/01,"116",4720449.14
KOORAGANG,2018-07-01,"4716210.62264151","53",2018/07/01,"53",4716210.62
PARRAWEENA,2018-07-01,"4691625","16",2018/07/01,"16",4691625.00
ZETLAND,2016-07-01,"4681947.2933618836","467",2016/07/01,"467",4681947.29
ULTIMO,2020-07-01,"4637008.0981481439","540",2020/07/01,"540",4637008.10
ULTIMO,2019-07-01,"4632503.23888889","540",2019/07/01,"540",4632503.24
RAVENSWORTH,2017-07-01,"4625125","28",2017/07/01,"28",4625125.00
CAMELLIA,2020-07-01,"4612508.888888889","45",2020/07/01,"45",4612508.89
WOLLI CREEK,2018-07-01,"4565550.6321839076","174",2018/07/01,"174",4565550.63
TULLOONA,2018-07-01,"4549644.166666666","24",2018/07/01,"24",4549644.17
CENTENNIAL PARK,2020-07-01,"4547906.3671874981","256",2020/07/01,"256",4547906.37
BADGERYS CREEK,2018-07-01,"4522520","85",2018/07/01,"85",4522520.00
ST LEONARDS,2016-07-01,"4510833.44919786","374",2016/07/01,"374",4510833.45
EASTERN CREEK,2020-07-01,"4494356.55105973","519",2020/07/01,"519",4494356.55
ULTIMO,2018-07-01,"4492133.1502782917","539",2018/07/01,"539",4492133.15
DRILDOOL,2020-07-01,"4462775.833333334","12",2020/07/01,"12",4462775.83
POTTS POINT,2016-07-01,"4450941.46171171","444",2016/07/01,"444",4450941.46
KOORAGANG,2020-07-01,"4428802.5076923082","65",2020/07/01,"65",4428802.51
MALLOWA,2019-07-01,"4424198.6956521738","46",2019/07/01,"46",4424198.70
KINGS FOREST,2018-07-01,"4423272.7272727266","22",2018/07/01,"22",4423272.73
CENTENNIAL PARK,2018-07-01,"4418635.2589641428","251",2018/07/01,"251",4418635.26
RHODES,2017-07-01,"4400943.2727272715","385",2017/07/01,"385",4400943.27
KOORAGANG,2019-07-01,"4361648.66153846","65",2019/07/01,"65",4361648.66
WOLLI CREEK,2019-07-01,"4358314.5762711866","177",2019/07/01,"177",4358314.58
MAYFIELD NORTH,2017-07-01,"4349985.9285714291","14",2017/07/01,"14",4349985.93
MAYFIELD NORTH,2018-07-01,"4349985.9285714282","14",2018/07/01,"14",4349985.93
KOORAGANG,2016-07-01,"4348620.0461538453","65",2016/07/01,"65",4348620.05
CENTENNIAL PARK,2019-07-01,"4341975.2734374991","256",2019/07/01,"256",4341975.27
WOLLI CREEK,2020-07-01,"4333086.9491525423","177",2020/07/01,"177",4333086.95
BERTHONG,2020-07-01,"4320515.277777778","36",2020/07/01,"36",4320515.28
LEN WATERS ESTATE,2016-07-01,"4299042.8571428573","21",2016/07/01,"21",4299042.86
MILLERS POINT,2017-07-01,"4267108.902173914","276",2017/07/01,"276",4267108.90
CRYON,2018-07-01,"4264371.4285714291","28",2018/07/01,"28",4264371.43
WOLLI CREEK,2017-07-01,"4262547.7058823537","170",2017/07/01,"170",4262547.71
HOMEBUSH BAY,2019-07-01,"4257916.666666667","6",2019/07/01,"6",4257916.67
PARRAWEENA,2017-07-01,"4256812.5","16",2017/07/01,"16",4256812.50
WATERLOO,2020-07-01,"4245057.2002200205","909",2020/07/01,"909",4245057.20
EASTERN CREEK,2019-07-01,"4230210.6936416188","519",2019/07/01,"519",4230210.69
DAWES POINT,2017-07-01,"4217330.240384615","104",2017/07/01,"104",4217330.24
WATERLOO,2019-07-01,"4190472.4433443346","909",2019/07/01,"909",4190472.44
WOOLWICH,2018-07-01,"4179909.4405594394","286",2018/07/01,"286",4179909.44
HUNTINGWOOD,2017-07-01,"4149993.75","80",2017/07/01,"80",4149993.75
TIONA,2018-07-01,"4140000","1",2018/07/01,"1",4140000.00
TIONA,2019-07-01,"4140000","1",2019/07/01,"1",4140000.00
TIONA,2020-07-01,"4140000","1",2020/07/01,"1",4140000.00
TULLOONA,2017-07-01,"4125394.166666667","24",2017/07/01,"24",4125394.17
KINGS FOREST,2019-07-01,"4123272.7272727275","22",2019/07/01,"22",4123272.73
DRILDOOL,2019-07-01,"4114800.8333333335","12",2019/07/01,"12",4114800.83
CRYON,2019-07-01,"4107075","32",2019/07/01,"32",4107075.00
CRYON,2020-07-01,"4107075","32",2020/07/01,"32",4107075.00
WATERLOO,2018-07-01,"4106049.6428571418","896",2018/07/01,"896",4106049.64
BREAKFAST POINT,2018-07-01,"4105432.4362934348","259",2018/07/01,"259",4105432.44
MILLIE,2020-07-01,"4086826.6666666665","15",2020/07/01,"15",4086826.67
WOLLI CREEK,2016-07-01,"4078126.6666666651","174",2016/07/01,"174",4078126.67
CENTENNIAL PARK,2017-07-01,"4009446.0557768922","251",2017/07/01,"251",4009446.06
BREAKFAST POINT,2020-07-01,"4007188.4653846161","260",2020/07/01,"260",4007188.47
KURRABA POINT,2020-07-01,"3983028.5615384616","260",2020/07/01,"260",3983028.56
WATSONS BAY,2020-07-01,"3975145.2","250",2020/07/01,"250",3975145.20
COOMOO COOMOO,2020-07-01,"3967420","10",2020/07/01,"10",3967420.00
CAMELLIA,2019-07-01,"3953784.4444444445","45",2019/07/01,"45",3953784.44
KINGS FOREST,2020-07-01,"3951863.6363636362","22",2020/07/01,"22",3951863.64
EVELEIGH,2019-07-01,"3941952.9529411769","85",2019/07/01,"85",3941952.95
DRILDOOL,2018-07-01,"3936084.166666667","12",2018/07/01,"12",3936084.17
CENTENNIAL PARK,2016-07-01,"3913861.2890624995","256",2016/07/01,"256",3913861.29
MAYFIELD NORTH,2016-07-01,"3903573.5333333332","15",2016/07/01,"15",3903573.53
ULTIMO,2017-07-01,"3896880.5373134343","536",2017/07/01,"536",3896880.54
ST LEONARDS,2017-07-01,"3896620.1955307261","358",2017/07/01,"358",3896620.20
EASTERN CREEK,2018-07-01,"3895475.9661354581","502",2018/07/01,"502",3895475.97
BREAKFAST POINT,2017-07-01,"3885193.0540540549","259",2017/07/01,"259",3885193.05
KIRRIBILLI,2020-07-01,"3877208.4824218755","512",2020/07/01,"512",3877208.48
KIRRIBILLI,2018-07-01,"3846482.6404715138","509",2018/07/01,"509",3846482.64
KURRABA POINT,2019-07-01,"3845352.3307692297","260",2019/07/01,"260",3845352.33
KURRABA POINT,2018-07-01,"3833494.6177606182","259",2018/07/01,"259",3833494.62
NORTH SYDNEY,2019-07-01,"3827725.0098920851","1112",2019/07/01,"1112",3827725.01
BREAKFAST POINT,2019-07-01,"3821411.542307693","260",2019/07/01,"260",3821411.54
PINE RIDGE,2020-07-01,"3817772.1052631587","38",2020/07/01,"38",3817772.11
COOMOO COOMOO,2019-07-01,"3795420","10",2019/07/01,"10",3795420.00
MILLIE,2019-07-01,"3790444.666666667","15",2019/07/01,"15",3790444.67
RHODES,2016-07-01,"3774616.5595854921","386",2016/07/01,"386",3774616.56
PARRAWEENA,2016-07-01,"3764882.3529411764","17",2016/07/01,"17",3764882.35
WOOLWICH,2017-07-01,"3764214.8943661978","284",2017/07/01,"284",3764214.89
NOWLEY,2020-07-01,"3756809.4736842103","19",2020/07/01,"19",3756809.47
COOMOO COOMOO,2018-07-01,"3752420","10",2018/07/01,"10",3752420.00
WALLACETOWN,2020-07-01,"3751500","4",2020/07/01,"4",3751500.00
TIONA,2017-07-01,"3750000","1",2017/07/01,"1",3750000.00
KIRRIBILLI,2019-07-01,"3728390.7089843741","512",2019/07/01,"512",3728390.71
WATSONS BAY,2018-07-01,"3718699.1836734693","245",2018/07/01,"245",3718699.18
CRYON,2017-07-01,"3692363.461538462","26",2017/07/01,"26",3692363.46
NORTH SYDNEY,2018-07-01,"3685114.4484958989","1097",2018/07/01,"1097",3685114.45
EVELEIGH,2020-07-01,"3670258.8352941182","85",2020/07/01,"85",3670258.84
WATSONS BAY,2019-07-01,"3665713.1999999993","250",2019/07/01,"250",3665713.20
TIONA,2016-07-01,"3660000","1",2016/07/01,"1",3660000.00
WATERLOO,2017-07-01,"3659157.7948430525","892",2017/07/01,"892",3659157.79
NORTH SYDNEY,2020-07-01,"3657738.9721223013","1112",2020/07/01,"1112",3657738.97
DOUBLE BAY,2020-07-01,"3656030.8412698419","882",2020/07/01,"882",3656030.84
DOUBLE BAY,2018-07-01,"3649775.9953542384","861",2018/07/01,"861",3649776.00
TAMARAMA,2018-07-01,"3644317.6811594213","345",2018/07/01,"345",3644317.68
DAWES POINT,2016-07-01,"3642049.894230769","104",2016/07/01,"104",3642049.89
BEGGAN BEGGAN,2019-07-01,"3639000","3",2019/07/01,"3",3639000.00
DOUBLE BAY,2019-07-01,"3637607.9954648525","882",2019/07/01,"882",3637608.00
BELLEVUE HILL,2018-07-01,"3595383.782629333","2107",2018/07/01,"2107",3595383.78
HUNTLEYS POINT,2018-07-01,"3593972.8571428568","70",2018/07/01,"70",3593972.86
WOOLWICH,2019-07-01,"3592564.4520547939","292",2019/07/01,"292",3592564.45
TULLOONA,2016-07-01,"3573938.4000000004","25",2016/07/01,"25",3573938.40
VAUCLUSE,2018-07-01,"3566586.687448048","2406",2018/07/01,"2406",3566586.69
KINGS FOREST,2017-07-01,"3566090.9090909096","22",2017/07/01,"22",3566090.91
BULLARAH,2020-07-01,"3561535.8695652178","92",2020/07/01,"92",3561535.87
PINE RIDGE,2019-07-01,"3545956.3157894737","38",2019/07/01,"38",3545956.32
VAUCLUSE,2020-07-01,"3544971.1473380104","2423",2020/07/01,"2423",3544971.15
MILLERS POINT,2016-07-01,"3544958.9277978344","277",2016/07/01,"277",3544958.93
TAMARAMA,2017-07-01,"3537043.7681159414","345",2017/07/01,"345",3537043.77
ULTIMO,2016-07-01,"3536180.6771799619","539",2016/07/01,"539",3536180.68
WATSONS BAY,2017-07-01,"3529467.7551020402","245",2017/07/01,"245",3529467.76
