SUBURB_NAME,DATE_MONTH,avg_land_value,property_count,DATE_MONTH_QDATE,property_count_int,avg_land_value_decimal
UPPER MANILLA,2017-07-01,"442735.83333333337","60",2017/07/01,"60",442735.83
GUNNING GAP,2016-07-01,"442729.10344827583","58",2016/07/01,"58",442729.10
BULGA,2019-07-01,"442570","175",2019/07/01,"175",442570.00
WINEGROVE,2018-07-01,"442541.66666666669","12",2018/07/01,"12",442541.67
ROSEBANK,2020-07-01,"442528.26086956525","184",2020/07/01,"184",442528.26
GLENBAWN,2020-07-01,"442452","45",2020/07/01,"45",442452.00
MOPPY,2016-07-01,"442384.21052631579","19",2016/07/01,"19",442384.21
BROOKFIELD,2020-07-01,"442298.86597938143","97",2020/07/01,"97",442298.87
MOUNT ANNAN,2018-07-01,"442290.82905752084","3703",2018/07/01,"3703",442290.83
BUNDANOON,2019-07-01,"442237.88602941186","1632",2019/07/01,"1632",442237.89
THULE,2017-07-01,"442228.14814814815","27",2017/07/01,"27",442228.15
GILLENBAH,2017-07-01,"442111.00000000006","80",2017/07/01,"80",442111.00
WEBBERS CREEK,2018-07-01,"442047.61904761905","21",2018/07/01,"21",442047.62
QUEANBEYAN EAST,2016-07-01,"441910.50255536597","1174",2016/07/01,"1174",441910.50
DEWITT,2016-07-01,"441900","13",2016/07/01,"13",441900.00
GHINNI GHI,2020-07-01,"441837.93103448278","29",2020/07/01,"29",441837.93
BUTTERWICK,2019-07-01,"441805.5555555555","63",2019/07/01,"63",441805.56
BROBENAH,2016-07-01,"441784.61538461538","26",2016/07/01,"26",441784.62
CLARENCE,2017-07-01,"441756.66666666674","141",2017/07/01,"141",441756.67
MURGA,2019-07-01,"441747.27272727276","33",2019/07/01,"33",441747.27
CHITTAWAY POINT,2019-07-01,"441701.02301790286","391",2019/07/01,"391",441701.02
MIDDLE ARM,2018-07-01,"441699.88636363629","176",2018/07/01,"176",441699.89
NORTH TUMBULGUM,2020-07-01,"441692.22222222219","90",2020/07/01,"90",441692.22
MITCHELLS FLAT,2019-07-01,"441688.31325301208","83",2019/07/01,"83",441688.31
DURI,2020-07-01,"441684.33070866135","254",2020/07/01,"254",441684.33
MALLEE,2017-07-01,"441682.38095238095","21",2017/07/01,"21",441682.38
KINGSGATE,2016-07-01,"441666.66666666669","3",2016/07/01,"3",441666.67
REDBANK,2020-07-01,"441584.93243243243","148",2020/07/01,"148",441584.93
GLENNING VALLEY,2017-07-01,"441538.99864682014","739",2017/07/01,"739",441539.00
LAMBS VALLEY,2017-07-01,"441538.5263157895","190",2017/07/01,"190",441538.53
GEORGES PLAINS,2020-07-01,"441514.859813084","107",2020/07/01,"107",441514.86
WILSONS CREEK,2016-07-01,"441489","170",2016/07/01,"170",441489.00
MULLA CREEK,2017-07-01,"441330","30",2017/07/01,"30",441330.00
ACACIA GARDENS,2020-07-01,"441311.58547387086","1129",2020/07/01,"1129",441311.59
ROSEBANK,2019-07-01,"441278.26086956525","184",2019/07/01,"184",441278.26
TIBBUC,2020-07-01,"441206","25",2020/07/01,"25",441206.00
SCOTLAND ISLAND,2017-07-01,"441125.44973544969","378",2017/07/01,"378",441125.45
URILA,2017-07-01,"441105.26315789472","57",2017/07/01,"57",441105.26
MANAR,2019-07-01,"441012.24193548382","62",2019/07/01,"62",441012.24
CAMBRA,2016-07-01,"440972","25",2016/07/01,"25",440972.00
FAULKLAND,2016-07-01,"440830.1886792453","53",2016/07/01,"53",440830.19
KENTUCKY SOUTH,2019-07-01,"440816.96202531643","79",2019/07/01,"79",440816.96
